Sales Person,Geography,Product,Date,Amount,Boxes
Gunar Cockshoot,UK,Smooth Sliky Salty,2021-01-04,5131,112
Beverie Moffet,UK,Almond Choco,2021-01-04,3633,212
Madelene Upcott,USA,Fruit & Nut Bars,2021-01-04,7819,247
Marney O'Breen,India,Orange Choco,2021-01-04,1064,138
Beverie Moffet,New Zealand,Organic Choco Syrup,2021-01-04,3465,259
Dennison Crosswaite,India,After Nines,2021-01-04,1148,240
Beverie Moffet,India,Fruit & Nut Bars,2021-01-04,819,306
Marney O'Breen,Australia,Spicy Special Slims,2021-01-04,2030,177
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,2021-01-04,147,169
Oby Sorrel,India,Mint Chip Choco,2021-01-04,1295,17
Kaine Padly,Australia,Orange Choco,2021-01-04,763,387
Gigi Bohling,Australia,Baker's Choco Chips,2021-01-04,4305,387
Husein Augar,USA,Manuka Honey Choco,2021-01-04,4851,35
Ches Bonnell,India,99% Dark & Pure,2021-01-04,987,271
Kaine Padly,Canada,85% Dark Bars,2021-01-04,4704,266
Karlen McCaffrey,Canada,Almond Choco,2021-01-04,3031,18
Dennison Crosswaite,Canada,Peanut Butter Cubes,2021-01-04,679,88
Gunar Cockshoot,Australia,Organic Choco Syrup,2021-01-04,6804,455
Dotty Strutley,India,Choco Coated Almonds,2021-01-04,357,210
Wilone O'Kielt,UK,Spicy Special Slims,2021-01-04,3815,424
Beverie Moffet,UK,99% Dark & Pure,2021-01-04,5670,122
Karlen McCaffrey,Canada,White Choc,2021-01-04,3010,155
Ches Bonnell,Australia,Manuka Honey Choco,2021-01-04,182,177
Barr Faughny,USA,Drinking Coco,2021-01-04,3080,73
Ches Bonnell,Canada,Caramel Stuffed Bars,2021-01-04,3101,643
Madelene Upcott,Australia,Eclairs,2021-01-04,2233,132
Madelene Upcott,USA,Mint Chip Choco,2021-01-04,3507,74
Gigi Bohling,Australia,Raspberry Choco,2021-01-04,8554,403
Dotty Strutley,India,Organic Choco Syrup,2021-01-04,3479,239
Curtice Advani,UK,Baker's Choco Chips,2021-01-04,1225,348
Rafaelita Blaksland,India,Eclairs,2021-01-04,49,840
Husein Augar,New Zealand,Baker's Choco Chips,2021-01-04,4487,175
Dotty Strutley,India,Spicy Special Slims,2021-01-04,1652,240
Wilone O'Kielt,India,Organic Choco Syrup,2021-01-05,10262,185
Oby Sorrel,Australia,Mint Chip Choco,2021-01-05,5173,217
Jan Morforth,New Zealand,White Choc,2021-01-05,2296,910
Rafaelita Blaksland,Canada,50% Dark Bites,2021-01-05,798,212
Madelene Upcott,India,White Choc,2021-01-05,910,231
Kelci Walkden,Canada,85% Dark Bars,2021-01-05,6510,251
Marney O'Breen,New Zealand,Manuka Honey Choco,2021-01-05,3892,213
Oby Sorrel,India,Spicy Special Slims,2021-01-05,4704,53
Gunar Cockshoot,New Zealand,Baker's Choco Chips,2021-01-05,4095,188
Gunar Cockshoot,Canada,Organic Choco Syrup,2021-01-05,11466,315
Dotty Strutley,India,99% Dark & Pure,2021-01-05,2324,178
Wilone O'Kielt,Canada,Baker's Choco Chips,2021-01-05,5068,128
Wilone O'Kielt,New Zealand,Almond Choco,2021-01-05,8855,436
Barr Faughny,India,Drinking Coco,2021-01-05,4872,175
Wilone O'Kielt,Australia,Peanut Butter Cubes,2021-01-05,8673,96
Curtice Advani,Australia,Orange Choco,2021-01-05,4340,79
Barr Faughny,New Zealand,50% Dark Bites,2021-01-05,35,910
Wilone O'Kielt,Australia,85% Dark Bars,2021-01-05,1659,43
Gunar Cockshoot,Canada,Spicy Special Slims,2021-01-05,4774,345
Wilone O'Kielt,New Zealand,Milk Bars,2021-01-05,637,61
Barr Faughny,New Zealand,Drinking Coco,2021-01-05,2828,208
Kaine Padly,India,Spicy Special Slims,2021-01-05,15288,139
Gigi Bohling,Canada,85% Dark Bars,2021-01-05,952,627
Marney O'Breen,Australia,Mint Chip Choco,2021-01-05,2632,840
Kaine Padly,Canada,Raspberry Choco,2021-01-05,8736,82
Brien Boise,Australia,Baker's Choco Chips,2021-01-05,805,217
Rafaelita Blaksland,Australia,Peanut Butter Cubes,2021-01-05,8316,138
Marney O'Breen,India,Milk Bars,2021-01-05,2072,300
Curtice Advani,New Zealand,Orange Choco,2021-01-05,938,16
Madelene Upcott,Canada,Milk Bars,2021-01-05,4592,96
Dennison Crosswaite,Australia,Drinking Coco,2021-01-05,8008,338
Madelene Upcott,India,Organic Choco Syrup,2021-01-05,8505,71
Wilone O'Kielt,Australia,Spicy Special Slims,2021-01-05,8463,183
Marney O'Breen,New Zealand,Mint Chip Choco,2021-01-05,6405,119
Gigi Bohling,New Zealand,70% Dark Bites,2021-01-06,2723,444
Curtice Advani,New Zealand,After Nines,2021-01-06,595,115
Gigi Bohling,USA,99% Dark & Pure,2021-01-06,5810,356
Marney O'Breen,Australia,White Choc,2021-01-06,10206,58
Jan Morforth,Canada,Drinking Coco,2021-01-06,1190,189
Dotty Strutley,UK,Drinking Coco,2021-01-06,4410,141
Jan Morforth,Australia,Eclairs,2021-01-06,3703,135
Curtice Advani,UK,70% Dark Bites,2021-01-06,4865,106
Andria Kimpton,New Zealand,Raspberry Choco,2021-01-06,7294,149
Gigi Bohling,New Zealand,Almond Choco,2021-01-06,3388,266
Marney O'Breen,India,Manuka Honey Choco,2021-01-06,581,161
Brien Boise,Canada,Eclairs,2021-01-06,875,207
Husein Augar,UK,99% Dark & Pure,2021-01-06,2331,625
Ches Bonnell,UK,After Nines,2021-01-06,259,486
Husein Augar,USA,Smooth Sliky Salty,2021-01-06,11473,251
Oby Sorrel,USA,Raspberry Choco,2021-01-06,1799,178
Dennison Crosswaite,Australia,Baker's Choco Chips,2021-01-07,882,1050
Karlen McCaffrey,India,85% Dark Bars,2021-01-07,5306,217
Beverie Moffet,India,Smooth Sliky Salty,2021-01-07,7210,30
Dotty Strutley,New Zealand,Almond Choco,2021-01-07,602,559
Gunar Cockshoot,Australia,Almond Choco,2021-01-07,2163,85
Jan Morforth,Canada,Fruit & Nut Bars,2021-01-07,1813,64
Brien Boise,USA,70% Dark Bites,2021-01-07,8253,88
Kelci Walkden,Canada,Orange Choco,2021-01-07,175,166
Dennison Crosswaite,UK,Baker's Choco Chips,2021-01-07,3535,83
Karlen McCaffrey,India,Organic Choco Syrup,2021-01-07,6888,840
Rafaelita Blaksland,India,Peanut Butter Cubes,2021-01-07,5845,75
Andria Kimpton,Australia,Almond Choco,2021-01-07,9590,414
Marney O'Breen,Australia,50% Dark Bites,2021-01-07,938,328
Jan Morforth,Canada,Raspberry Choco,2021-01-07,6251,220
Marney O'Breen,Canada,Almond Choco,2021-01-07,126,315
Curtice Advani,Canada,Raspberry Choco,2021-01-07,189,101
Rafaelita Blaksland,Canada,99% Dark & Pure,2021-01-07,2163,573
Dotty Strutley,Canada,Manuka Honey Choco,2021-01-07,7784,100
Madelene Upcott,Canada,Choco Coated Almonds,2021-01-08,3703,511
Brien Boise,UK,After Nines,2021-01-08,1428,220
Dennison Crosswaite,Australia,70% Dark Bites,2021-01-08,91,10
Barr Faughny,Canada,After Nines,2021-01-08,1561,505
Andria Kimpton,UK,Choco Coated Almonds,2021-01-08,532,155
Karlen McCaffrey,Australia,After Nines,2021-01-08,4284,275
Rafaelita Blaksland,Australia,White Choc,2021-01-08,322,296
Barr Faughny,USA,70% Dark Bites,2021-01-08,2576,48
Oby Sorrel,UK,Choco Coated Almonds,2021-01-08,1659,217
Karlen McCaffrey,Australia,Drinking Coco,2021-01-08,4214,135
Dotty Strutley,India,Smooth Sliky Salty,2021-01-08,2170,148
Ches Bonnell,India,Organic Choco Syrup,2021-01-08,630,41
Karlen McCaffrey,USA,Almond Choco,2021-01-08,3689,82
Jan Morforth,Canada,Almond Choco,2021-01-08,805,241
Barr Faughny,UK,Smooth Sliky Salty,2021-01-08,1449,123
Wilone O'Kielt,UK,Manuka Honey Choco,2021-01-08,1554,320
Oby Sorrel,Canada,50% Dark Bites,2021-01-08,2366,89
Dennison Crosswaite,USA,Drinking Coco,2021-01-08,518,389
Karlen McCaffrey,USA,Baker's Choco Chips,2021-01-08,1911,700
Marney O'Breen,Australia,Drinking Coco,2021-01-08,8974,16
Marney O'Breen,India,Choco Coated Almonds,2021-01-08,6580,182
Gigi Bohling,Canada,70% Dark Bites,2021-01-08,1953,25
Wilone O'Kielt,Canada,Smooth Sliky Salty,2021-01-08,1498,25
Curtice Advani,Australia,Caramel Stuffed Bars,2021-01-08,7749,177
Brien Boise,India,White Choc,2021-01-08,9975,171
Dotty Strutley,UK,Mint Chip Choco,2021-01-11,8911,12
Marney O'Breen,Australia,Milk Bars,2021-01-11,1295,27
Marney O'Breen,Australia,Smooth Sliky Salty,2021-01-11,1932,28
Jan Morforth,New Zealand,Fruit & Nut Bars,2021-01-11,112,57
Dotty Strutley,Canada,85% Dark Bars,2021-01-11,4823,103
Dennison Crosswaite,Australia,Orange Choco,2021-01-11,2968,210
Dotty Strutley,UK,Fruit & Nut Bars,2021-01-11,5411,240
Wilone O'Kielt,USA,Eclairs,2021-01-11,98,288
Kaine Padly,Australia,Milk Bars,2021-01-11,2576,99
Kaine Padly,Australia,Almond Choco,2021-01-11,3934,607
Andria Kimpton,Canada,After Nines,2021-01-11,3206,153
Kaine Padly,UK,After Nines,2021-01-11,5992,136
Curtice Advani,USA,Smooth Sliky Salty,2021-01-11,77,75
Beverie Moffet,Australia,50% Dark Bites,2021-01-11,5558,91
Kaine Padly,Canada,Peanut Butter Cubes,2021-01-11,2548,227
Karlen McCaffrey,UK,50% Dark Bites,2021-01-11,973,264
Karlen McCaffrey,Australia,Caramel Stuffed Bars,2021-01-11,3801,640
Marney O'Breen,New Zealand,Fruit & Nut Bars,2021-01-11,6867,770
Karlen McCaffrey,India,After Nines,2021-01-11,2317,276
Madelene Upcott,UK,50% Dark Bites,2021-01-11,462,147
Wilone O'Kielt,Canada,Raspberry Choco,2021-01-11,1022,7
Oby Sorrel,USA,Caramel Stuffed Bars,2021-01-11,5068,227
Dennison Crosswaite,USA,Fruit & Nut Bars,2021-01-11,9793,106
Andria Kimpton,Australia,Smooth Sliky Salty,2021-01-11,7210,219
Jan Morforth,Australia,Manuka Honey Choco,2021-01-11,4340,413
Brien Boise,India,Organic Choco Syrup,2021-01-11,9226,65
Barr Faughny,New Zealand,Orange Choco,2021-01-12,1932,129
Husein Augar,Australia,50% Dark Bites,2021-01-12,1337,133
Gigi Bohling,Canada,Spicy Special Slims,2021-01-12,1771,125
Jan Morforth,India,Mint Chip Choco,2021-01-12,4690,72
Andria Kimpton,UK,Orange Choco,2021-01-12,10241,243
Barr Faughny,UK,Peanut Butter Cubes,2021-01-12,4907,275
Curtice Advani,USA,50% Dark Bites,2021-01-12,5817,119
Dotty Strutley,USA,After Nines,2021-01-12,2527,277
Gigi Bohling,New Zealand,Choco Coated Almonds,2021-01-12,4053,23
Wilone O'Kielt,USA,Baker's Choco Chips,2021-01-12,63,263
Marney O'Breen,Canada,White Choc,2021-01-12,6559,619
Curtice Advani,Canada,After Nines,2021-01-12,4921,770
Gunar Cockshoot,Canada,Mint Chip Choco,2021-01-12,10738,135
Gunar Cockshoot,New Zealand,Almond Choco,2021-01-12,7441,8
Gigi Bohling,New Zealand,99% Dark & Pure,2021-01-12,6244,27
Gigi Bohling,UK,Organic Choco Syrup,2021-01-12,9625,138
Kelci Walkden,USA,Peanut Butter Cubes,2021-01-12,2303,194
Andria Kimpton,UK,Baker's Choco Chips,2021-01-12,406,94
Kaine Padly,UK,Fruit & Nut Bars,2021-01-12,6531,185
Wilone O'Kielt,USA,Fruit & Nut Bars,2021-01-12,2954,137
Andria Kimpton,Canada,Peanut Butter Cubes,2021-01-12,2121,204
Barr Faughny,New Zealand,Smooth Sliky Salty,2021-01-12,5026,222
Gunar Cockshoot,India,White Choc,2021-01-12,1673,410
Beverie Moffet,New Zealand,Choco Coated Almonds,2021-01-13,1337,700
Andria Kimpton,India,Mint Chip Choco,2021-01-13,4795,56
Marney O'Breen,New Zealand,Milk Bars,2021-01-13,224,185
Rafaelita Blaksland,Australia,Caramel Stuffed Bars,2021-01-13,1708,21
Wilone O'Kielt,New Zealand,Eclairs,2021-01-13,1463,577
Karlen McCaffrey,Canada,Milk Bars,2021-01-13,553,65
Kelci Walkden,India,Smooth Sliky Salty,2021-01-13,7812,265
Brien Boise,New Zealand,White Choc,2021-01-13,9149,117
Jan Morforth,UK,Drinking Coco,2021-01-13,3500,469
Madelene Upcott,UK,Almond Choco,2021-01-13,4417,440
Brien Boise,USA,Smooth Sliky Salty,2021-01-13,4487,224
Jan Morforth,Australia,Smooth Sliky Salty,2021-01-13,3444,24
Dennison Crosswaite,Canada,99% Dark & Pure,2021-01-14,4907,275
Gunar Cockshoot,New Zealand,Raspberry Choco,2021-01-14,1631,94
Gunar Cockshoot,Canada,Eclairs,2021-01-14,4949,329
Gigi Bohling,UK,Drinking Coco,2021-01-14,11004,397
Barr Faughny,India,Caramel Stuffed Bars,2021-01-14,7329,390
Husein Augar,India,Baker's Choco Chips,2021-01-14,1295,455
Oby Sorrel,UK,Drinking Coco,2021-01-14,3325,567
Beverie Moffet,New Zealand,Milk Bars,2021-01-14,6741,479
Madelene Upcott,USA,Choco Coated Almonds,2021-01-14,1925,174
Madelene Upcott,New Zealand,Smooth Sliky Salty,2021-01-15,2408,499
Dennison Crosswaite,Australia,50% Dark Bites,2021-01-15,6328,210
Ches Bonnell,USA,70% Dark Bites,2021-01-15,9583,469
Gigi Bohling,Canada,After Nines,2021-01-15,5264,249
Curtice Advani,India,Almond Choco,2021-01-15,2842,411
Kelci Walkden,New Zealand,70% Dark Bites,2021-01-15,3458,338
Dennison Crosswaite,Canada,70% Dark Bites,2021-01-15,7672,840
Dotty Strutley,Australia,50% Dark Bites,2021-01-18,35,51
Madelene Upcott,Australia,Choco Coated Almonds,2021-01-18,4039,114
Brien Boise,UK,Mint Chip Choco,2021-01-18,10969,531
Curtice Advani,Canada,Orange Choco,2021-01-18,7028,53
Kaine Padly,Canada,Fruit & Nut Bars,2021-01-18,5670,84
Gunar Cockshoot,Australia,Drinking Coco,2021-01-18,1645,100
Barr Faughny,Australia,Almond Choco,2021-01-18,2044,408
Ches Bonnell,India,Choco Coated Almonds,2021-01-18,4690,353
Wilone O'Kielt,Australia,Caramel Stuffed Bars,2021-01-18,5670,136
Brien Boise,Australia,Choco Coated Almonds,2021-01-19,4914,339
Ches Bonnell,India,Raspberry Choco,2021-01-19,3052,245
Rafaelita Blaksland,Australia,Almond Choco,2021-01-19,3976,352
Andria Kimpton,Canada,99% Dark & Pure,2021-01-19,4039,118
Rafaelita Blaksland,India,Smooth Sliky Salty,2021-01-19,6286,518
Oby Sorrel,USA,50% Dark Bites,2021-01-19,7007,595
Brien Boise,Australia,Raspberry Choco,2021-01-19,1890,287
Marney O'Breen,Canada,Drinking Coco,2021-01-19,2975,201
Rafaelita Blaksland,USA,Choco Coated Almonds,2021-01-19,1449,37
Beverie Moffet,Canada,Manuka Honey Choco,2021-01-19,4578,251
Ches Bonnell,USA,White Choc,2021-01-19,1449,157
Gunar Cockshoot,USA,85% Dark Bars,2021-01-19,693,85
Rafaelita Blaksland,India,After Nines,2021-01-19,7322,165
Rafaelita Blaksland,New Zealand,50% Dark Bites,2021-01-19,2226,241
Rafaelita Blaksland,USA,Fruit & Nut Bars,2021-01-19,7763,355
Gunar Cockshoot,India,Caramel Stuffed Bars,2021-01-19,322,238
Karlen McCaffrey,Canada,Organic Choco Syrup,2021-01-19,9219,263
Jan Morforth,Australia,Orange Choco,2021-01-19,2926,259
Gunar Cockshoot,Australia,Fruit & Nut Bars,2021-01-19,5831,135
Marney O'Breen,UK,Manuka Honey Choco,2021-01-19,798,163
Jan Morforth,Canada,Choco Coated Almonds,2021-01-19,3094,418
Jan Morforth,USA,Peanut Butter Cubes,2021-01-19,8043,123
Kelci Walkden,Australia,Spicy Special Slims,2021-01-19,9702,235
Beverie Moffet,India,After Nines,2021-01-19,9107,262
Gunar Cockshoot,Canada,After Nines,2021-01-19,1218,1120
Barr Faughny,UK,Spicy Special Slims,2021-01-19,1680,139
Dotty Strutley,Canada,Orange Choco,2021-01-19,1295,63
Andria Kimpton,India,Fruit & Nut Bars,2021-01-19,2625,163
Curtice Advani,UK,99% Dark & Pure,2021-01-19,1939,341
Ches Bonnell,USA,Smooth Sliky Salty,2021-01-19,1575,267
Dennison Crosswaite,Canada,50% Dark Bites,2021-01-19,4690,268
Karlen McCaffrey,New Zealand,Drinking Coco,2021-01-19,4606,298
Curtice Advani,UK,Choco Coated Almonds,2021-01-20,1659,137
Barr Faughny,UK,Choco Coated Almonds,2021-01-20,2576,132
Dennison Crosswaite,New Zealand,Fruit & Nut Bars,2021-01-20,413,151
Kelci Walkden,USA,Milk Bars,2021-01-20,819,106
Karlen McCaffrey,Canada,Peanut Butter Cubes,2021-01-20,5117,43
Ches Bonnell,Australia,Caramel Stuffed Bars,2021-01-20,4186,137
Curtice Advani,UK,Manuka Honey Choco,2021-01-20,4452,34
Brien Boise,Australia,Peanut Butter Cubes,2021-01-20,3556,66
Gigi Bohling,USA,Organic Choco Syrup,2021-01-20,4767,308
Husein Augar,New Zealand,Peanut Butter Cubes,2021-01-20,6629,139
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,2021-01-20,5915,910
Wilone O'Kielt,Canada,Mint Chip Choco,2021-01-20,1358,208
Husein Augar,USA,Peanut Butter Cubes,2021-01-20,9331,215
Kelci Walkden,Canada,Raspberry Choco,2021-01-20,84,59
Kaine Padly,UK,White Choc,2021-01-20,12894,126
Wilone O'Kielt,Australia,Raspberry Choco,2021-01-20,2296,9
Rafaelita Blaksland,UK,Peanut Butter Cubes,2021-01-20,91,473
Kelci Walkden,UK,Choco Coated Almonds,2021-01-20,6405,373
Husein Augar,New Zealand,Eclairs,2021-01-20,4550,36
Barr Faughny,USA,Spicy Special Slims,2021-01-21,7014,180
Kelci Walkden,UK,Organic Choco Syrup,2021-01-21,6979,164
Ches Bonnell,UK,85% Dark Bars,2021-01-21,8344,248
Kelci Walkden,New Zealand,Raspberry Choco,2021-01-21,2793,150
Karlen McCaffrey,UK,Almond Choco,2021-01-21,3143,99
Andria Kimpton,New Zealand,Baker's Choco Chips,2021-01-21,504,347
Karlen McCaffrey,India,Baker's Choco Chips,2021-01-21,868,77
Husein Augar,India,Smooth Sliky Salty,2021-01-21,3143,75
Oby Sorrel,USA,Orange Choco,2021-01-21,4893,840
Marney O'Breen,Canada,Eclairs,2021-01-21,1547,276
Ches Bonnell,Canada,Fruit & Nut Bars,2021-01-21,4200,188
Wilone O'Kielt,Australia,Fruit & Nut Bars,2021-01-21,1778,95
Barr Faughny,USA,99% Dark & Pure,2021-01-21,10675,184
Dotty Strutley,USA,Drinking Coco,2021-01-21,973,145
Dennison Crosswaite,UK,50% Dark Bites,2021-01-21,2310,44
Kelci Walkden,India,Peanut Butter Cubes,2021-01-21,217,333
Rafaelita Blaksland,New Zealand,After Nines,2021-01-21,3451,378
Marney O'Breen,USA,Caramel Stuffed Bars,2021-01-21,4277,60
Rafaelita Blaksland,UK,Spicy Special Slims,2021-01-21,7294,616
Kaine Padly,New Zealand,After Nines,2021-01-22,8365,238
Husein Augar,India,Caramel Stuffed Bars,2021-01-22,9982,403
Gunar Cockshoot,New Zealand,White Choc,2021-01-22,2849,345
Madelene Upcott,New Zealand,50% Dark Bites,2021-01-22,1519,188
Karlen McCaffrey,New Zealand,50% Dark Bites,2021-01-22,1106,438
Beverie Moffet,Australia,Milk Bars,2021-01-22,2695,524
Dennison Crosswaite,USA,Milk Bars,2021-01-22,3108,700
Brien Boise,Canada,Milk Bars,2021-01-22,3115,243
Dennison Crosswaite,New Zealand,50% Dark Bites,2021-01-22,2471,163
Oby Sorrel,Canada,White Choc,2021-01-22,5817,365
Dennison Crosswaite,India,Manuka Honey Choco,2021-01-22,1309,514
Rafaelita Blaksland,USA,Almond Choco,2021-01-22,5768,98
Brien Boise,New Zealand,Spicy Special Slims,2021-01-22,2681,117
Dennison Crosswaite,USA,Almond Choco,2021-01-22,3661,228
Barr Faughny,New Zealand,Caramel Stuffed Bars,2021-01-22,3290,6
Ches Bonnell,USA,85% Dark Bars,2021-01-22,8428,17
Brien Boise,USA,Baker's Choco Chips,2021-01-22,2044,31
Kelci Walkden,Canada,Manuka Honey Choco,2021-01-25,2219,320
Ches Bonnell,Canada,Spicy Special Slims,2021-01-25,4473,202
Dennison Crosswaite,UK,Fruit & Nut Bars,2021-01-25,2086,410
Beverie Moffet,New Zealand,Drinking Coco,2021-01-25,2618,128
Beverie Moffet,Canada,Almond Choco,2021-01-25,7630,276
Karlen McCaffrey,USA,Fruit & Nut Bars,2021-01-25,7910,480
Madelene Upcott,UK,Spicy Special Slims,2021-01-25,7882,103
Husein Augar,Australia,Orange Choco,2021-01-25,2940,573
Ches Bonnell,UK,70% Dark Bites,2021-01-25,3192,572
Marney O'Breen,USA,Spicy Special Slims,2021-01-25,3465,42
Beverie Moffet,UK,Caramel Stuffed Bars,2021-01-25,4410,88
Ches Bonnell,Australia,White Choc,2021-01-25,5397,301
Beverie Moffet,Canada,After Nines,2021-01-25,4928,222
Brien Boise,Canada,Manuka Honey Choco,2021-01-25,7987,49
Dennison Crosswaite,India,Baker's Choco Chips,2021-01-25,3710,6
Andria Kimpton,Australia,Orange Choco,2021-01-25,4620,105
Madelene Upcott,Australia,Orange Choco,2021-01-25,441,10
Oby Sorrel,New Zealand,Caramel Stuffed Bars,2021-01-25,6601,20
Jan Morforth,India,Peanut Butter Cubes,2021-01-25,7896,85
Brien Boise,USA,Drinking Coco,2021-01-25,812,602
Andria Kimpton,UK,50% Dark Bites,2021-01-25,2219,472
Ches Bonnell,UK,Almond Choco,2021-01-25,4886,173
Ches Bonnell,New Zealand,85% Dark Bars,2021-01-25,7644,133
Wilone O'Kielt,UK,70% Dark Bites,2021-01-25,4410,248
Husein Augar,New Zealand,Organic Choco Syrup,2021-01-25,7728,269
Oby Sorrel,USA,Almond Choco,2021-01-25,4739,124
Marney O'Breen,India,Smooth Sliky Salty,2021-01-25,2205,305
Barr Faughny,India,Milk Bars,2021-01-25,1547,251
Wilone O'Kielt,UK,Mint Chip Choco,2021-01-26,1204,22
Curtice Advani,UK,Mint Chip Choco,2021-01-26,7084,65
Karlen McCaffrey,USA,Drinking Coco,2021-01-26,3157,106
Brien Boise,India,Orange Choco,2021-01-26,525,187
Madelene Upcott,UK,Orange Choco,2021-01-26,1113,106
Ches Bonnell,India,Baker's Choco Chips,2021-01-26,2898,113
Husein Augar,New Zealand,Smooth Sliky Salty,2021-01-26,5495,255
Wilone O'Kielt,UK,White Choc,2021-01-26,1414,590
Dotty Strutley,Australia,Manuka Honey Choco,2021-01-26,1372,166
Jan Morforth,Australia,85% Dark Bars,2021-01-27,5299,168
Madelene Upcott,Australia,Drinking Coco,2021-01-27,1673,157
Kelci Walkden,India,After Nines,2021-01-27,4956,548
Oby Sorrel,New Zealand,Drinking Coco,2021-01-27,3745,254
Dennison Crosswaite,USA,Eclairs,2021-01-27,49,192
Brien Boise,India,Manuka Honey Choco,2021-01-27,3997,299
Husein Augar,Canada,85% Dark Bars,2021-01-27,6279,177
Marney O'Breen,Australia,Peanut Butter Cubes,2021-01-27,3346,449
Dotty Strutley,Canada,White Choc,2021-01-28,434,10
Gigi Bohling,India,Spicy Special Slims,2021-01-28,2051,13
Kelci Walkden,New Zealand,Caramel Stuffed Bars,2021-01-28,7350,176
Dennison Crosswaite,Canada,Choco Coated Almonds,2021-01-28,3752,232
Madelene Upcott,Canada,Smooth Sliky Salty,2021-01-28,6139,54
Barr Faughny,India,85% Dark Bars,2021-01-28,896,130
Brien Boise,India,Choco Coated Almonds,2021-01-28,1750,110
Marney O'Breen,Australia,Choco Coated Almonds,2021-01-28,2093,346
Rafaelita Blaksland,UK,After Nines,2021-01-28,1197,72
Madelene Upcott,Canada,Manuka Honey Choco,2021-01-28,2968,398
